LAU2 Code,LAU2 Name,Voters,Issued Envelopes,Valid Votes,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,Národ Sobě
581291,Adamov,3668,2157,2138,208,3,5,222,0,76,241,37,18,28,1,7,208,5,63,565,5,14,117,2,10,3,6,278,15,1
581313,Bedřichov,205,155,153,16,0,2,10,0,3,4,0,3,8,0,0,13,0,6,51,0,1,17,0,0,1,0,18,0,0
581330,Benešov,538,382,382,28,0,0,43,0,9,45,4,5,6,0,0,24,0,11,92,0,0,74,0,2,0,1,36,2,0
581283,Blansko,16486,10446,10367,1251,5,4,1055,3,258,1184,158,67,146,7,22,1082,11,330,2733,8,20,748,5,60,19,17,1141,28,5
581356,Borotín,332,204,203,17,0,0,16,0,19,29,3,0,3,0,0,9,0,4,50,0,0,13,0,1,0,0,39,0,0
581364,Bořitov,1057,703,700,61,0,0,63,0,23,82,5,8,16,0,1,51,2,19,219,1,0,92,0,2,1,0,53,0,1
581372,Boskovice,9371,5843,5812,676,9,9,619,4,124,514,129,40,88,3,15,594,4,204,1510,2,8,551,1,29,15,2,641,19,2
581381,Brťov-Jeneč,282,186,182,12,0,0,18,0,2,31,1,5,1,1,0,8,0,3,58,0,1,23,0,3,2,0,13,0,0
581445,Bukovina,305,214,213,21,0,0,21,0,21,24,1,6,6,0,0,20,0,7,47,0,1,17,0,1,0,0,20,0,0
581453,Bukovinka,431,327,327,37,0,2,17,0,31,19,2,1,7,0,1,36,0,16,102,0,1,24,0,2,4,0,23,2,0
581461,Býkovice,189,146,143,10,1,0,10,0,4,16,1,1,11,1,0,4,0,16,29,0,0,21,0,0,0,0,16,2,0
581470,Cetkovice,616,353,350,23,1,0,34,0,6,27,5,8,4,0,1,25,0,4,86,0,0,81,0,4,3,1,37,0,0
554162,Crhov,135,90,90,3,0,0,12,0,1,11,1,0,0,0,0,11,0,8,28,0,0,11,0,0,0,0,4,0,0
581496,Černá Hora,1659,1047,1039,143,0,4,85,0,42,74,14,2,21,0,4,116,0,33,318,2,3,61,0,11,1,2,99,3,1
581500,Černovice,295,184,184,2,0,0,13,0,3,18,1,1,1,0,0,14,0,3,73,0,0,32,0,0,0,1,20,2,0
581518,Deštná,197,132,132,4,0,1,17,0,2,19,1,5,0,0,0,3,1,2,53,0,0,7,0,1,0,0,16,0,0
581526,Dlouhá Lhota,101,64,63,7,0,0,10,0,1,7,0,1,3,0,0,3,0,2,17,0,1,6,0,0,0,0,5,0,0
581542,Doubravice nad Svitavou,1112,718,716,78,2,0,73,0,32,100,10,5,11,0,1,58,1,13,193,1,3,46,0,2,4,1,78,4,0
581551,Drnovice,973,657,652,77,0,0,47,0,15,36,4,5,13,0,0,63,0,49,188,0,4,55,1,1,2,0,92,0,0
581569,Habrůvka,320,214,212,26,0,0,20,0,22,15,2,1,5,0,0,20,0,11,35,0,0,16,0,0,0,2,36,1,0
581593,Hodonín,128,100,100,9,0,0,7,0,5,2,1,2,2,0,0,6,0,2,40,0,0,16,0,0,1,0,7,0,0
581615,Holštejn,136,105,101,19,0,0,4,0,3,12,0,2,3,2,0,6,0,2,18,0,1,12,0,0,0,0,17,0,0
581631,Horní Poříčí,226,156,155,16,0,0,11,0,6,7,0,1,4,0,1,6,1,2,48,0,2,28,0,0,1,1,18,2,0
513695,Horní Smržov,110,75,75,9,0,0,3,0,2,1,1,0,5,0,0,6,0,1,23,0,0,13,0,2,0,0,9,0,0
581534,Chrudichromy,159,115,112,5,0,0,1,0,5,14,1,2,0,0,0,13,0,5,32,0,2,12,0,0,0,0,20,0,0
581666,Jabloňany,322,211,211,22,0,0,15,0,11,15,1,1,2,0,1,18,0,12,66,0,1,26,0,0,2,0,17,1,0
581682,Jedovnice,2246,1521,1514,163,2,0,126,2,85,167,22,8,22,1,0,117,1,35,387,0,2,161,0,13,3,3,183,11,0
581721,Kněževes,141,100,100,5,0,0,6,0,3,3,2,2,0,0,0,6,0,0,33,0,1,32,0,0,0,1,6,0,0
581739,Knínice,707,460,454,37,0,0,58,2,17,29,7,4,7,0,0,39,0,3,152,0,0,54,0,0,0,1,42,0,2
581755,Kořenec,275,185,185,8,1,0,25,0,9,14,4,0,2,0,0,14,0,4,50,0,0,35,0,0,0,0,19,0,0
581763,Kotvrdovice,738,518,516,19,1,0,38,0,22,56,3,7,14,0,0,39,0,8,160,0,0,89,0,4,1,1,51,3,0
581771,Kozárov,96,83,82,5,0,1,5,0,1,0,1,0,2,0,0,12,0,1,28,0,0,19,0,0,0,0,7,0,0
581780,Krasová,295,214,214,34,0,0,33,0,6,25,4,1,2,0,0,16,1,3,49,0,0,13,0,0,0,1,26,0,0
581798,Krhov,128,92,91,9,1,0,7,0,2,14,2,0,1,0,0,5,0,3,30,0,1,4,0,0,0,4,8,0,0
581801,Křetín,408,263,258,2,0,0,21,1,4,32,1,1,0,0,0,13,1,1,94,1,0,50,0,3,1,1,31,0,0
581810,Křtěnov,178,105,105,10,0,0,3,0,7,10,1,1,1,0,0,5,0,1,30,0,0,22,0,0,0,1,13,0,0
581828,Křtiny,683,511,511,39,0,4,48,0,106,42,0,1,5,0,0,32,0,16,119,0,0,34,0,3,2,1,58,0,1
581836,Kulířov,149,97,95,10,0,0,10,0,7,13,0,0,2,1,0,6,0,1,15,0,1,18,0,0,0,0,10,1,0
581844,Kunčina Ves,52,43,43,0,0,0,2,0,0,6,2,0,0,0,0,7,0,1,11,0,0,8,0,0,0,0,6,0,0
581852,Kunice,127,88,88,5,0,0,10,0,3,3,5,1,2,0,0,7,0,0,24,0,0,20,0,0,0,0,6,2,0
581861,Kuničky,220,159,155,4,0,0,17,0,5,20,1,1,2,1,0,14,0,1,36,0,1,13,0,1,0,1,37,0,0
581879,Kunštát,2185,1387,1383,177,1,0,133,0,37,88,18,7,23,1,5,129,2,56,343,1,1,216,2,3,2,1,130,5,2
581887,Lazinov,135,101,99,16,0,0,8,0,3,11,1,0,2,0,1,14,0,5,26,0,0,4,0,0,0,0,8,0,0
581909,Lažany,336,228,227,16,0,0,13,1,19,13,3,5,7,0,0,26,0,12,64,0,2,19,0,1,1,0,24,1,0
581917,Letovice,5408,3484,3463,349,2,2,324,2,94,345,43,24,50,4,6,310,5,163,957,2,9,333,0,23,3,1,404,7,1
581925,Lhota Rapotina,338,223,222,32,1,0,26,0,6,19,1,1,6,0,0,14,0,0,67,0,0,24,0,3,0,0,22,0,0
581933,Lhota u Lysic,113,89,89,5,0,0,15,0,4,8,0,0,0,0,0,7,0,0,22,0,0,13,0,0,0,0,15,0,0
581941,Lhota u Olešnice,39,31,31,2,0,0,3,0,0,1,0,0,0,0,0,3,0,3,9,0,0,10,0,0,0,0,0,0,0
581950,Lipovec,929,550,545,38,0,0,61,0,12,57,5,2,11,0,0,35,0,6,103,4,2,111,0,5,2,0,90,1,0
581968,Lipůvka,1050,725,725,129,1,0,59,0,34,28,10,1,11,0,0,68,0,35,193,1,0,53,0,3,11,1,86,1,0
553875,Louka,65,41,39,1,0,0,0,0,4,5,0,0,0,0,0,9,0,0,7,0,0,6,0,0,0,0,7,0,0
581992,Lubě,87,65,65,11,0,0,1,0,6,3,1,2,0,0,0,7,0,2,12,0,0,17,0,0,0,0,3,0,0
531006,Ludíkov,257,179,174,14,0,0,12,0,2,15,1,0,4,0,0,7,0,5,36,0,0,56,0,3,0,0,19,0,0
582018,Lysice,1497,1022,1018,120,2,1,100,1,29,53,16,4,21,0,3,101,0,41,317,2,4,104,0,8,2,2,85,1,1
582026,Makov,39,29,29,1,0,0,0,0,0,5,0,0,1,0,0,7,0,0,3,0,0,10,0,0,0,0,2,0,0
582034,Malá Lhota,122,75,74,4,0,0,4,0,3,2,1,2,0,0,0,5,1,2,29,1,0,7,0,0,0,0,13,0,0
582042,Malá Roudka,169,108,107,1,0,0,9,0,15,12,1,1,0,0,0,7,0,3,32,0,0,15,0,0,0,0,11,0,0
582069,Míchov,125,95,95,11,0,0,11,0,1,4,0,0,3,2,1,6,0,1,27,1,0,7,0,3,0,0,17,0,0
582077,Milonice,142,86,86,10,0,0,13,0,7,9,0,0,0,0,0,10,0,5,23,0,0,0,0,0,0,1,8,0,0
582085,Němčice,362,244,240,10,1,0,25,1,7,66,3,0,4,0,0,11,0,3,59,0,0,29,1,2,0,0,15,2,1
582107,Nýrov,173,116,114,5,0,0,13,0,3,9,2,0,0,0,0,12,0,16,22,0,1,23,0,1,0,0,6,1,0
582115,Obora,259,166,165,11,0,0,12,0,8,16,3,4,7,0,0,14,0,0,42,0,0,12,0,1,0,0,35,0,0
582131,Okrouhlá,481,336,336,23,0,0,42,0,11,18,4,6,6,0,0,25,0,4,90,0,0,64,0,6,1,0,36,0,0
582158,Olešnice,1387,883,881,83,0,1,62,0,22,90,3,8,17,2,2,71,1,29,211,0,0,194,0,2,1,1,79,2,0
582166,Olomučany,825,571,569,42,0,0,47,0,27,62,4,5,14,2,1,30,4,12,178,1,2,37,0,2,1,3,92,2,1
582182,Ostrov u Macochy,900,559,554,56,1,0,64,0,11,80,9,3,11,1,3,47,0,10,135,1,0,57,0,1,3,1,59,1,0
582191,Pamětice,196,135,134,3,0,0,7,0,9,6,0,2,0,0,0,14,0,4,37,0,0,40,0,1,0,0,11,0,0
582204,Petrov,110,79,79,2,0,0,4,0,1,4,0,0,1,0,0,13,0,3,30,0,1,12,0,0,0,0,6,1,1
582212,Petrovice,520,307,305,28,0,0,33,0,5,26,5,2,2,0,0,48,0,7,92,0,2,25,0,0,2,0,26,2,0
582221,Prostřední Poříčí,231,146,145,2,0,0,10,0,1,10,0,0,2,0,0,6,0,5,45,0,0,35,0,1,0,0,28,0,0
582239,Rájec-Jestřebí,2927,1899,1880,228,2,0,196,2,40,176,21,34,32,2,2,161,2,31,474,0,7,187,1,10,4,8,259,1,0
582247,Ráječko,1042,711,708,67,0,0,74,1,19,82,9,2,13,1,0,67,3,22,205,1,5,39,0,3,4,1,89,1,0
513709,Roubanina,112,80,80,5,0,0,13,0,3,11,1,0,1,0,0,7,0,0,17,2,0,10,0,1,0,0,9,0,0
582271,Rozseč nad Kunštátem,413,308,306,13,4,0,38,0,14,8,3,0,2,1,0,29,0,2,77,0,0,94,0,0,3,0,16,2,0
582280,Rozsíčka,118,90,90,3,0,0,4,0,6,10,2,3,0,0,0,5,0,2,32,0,0,16,0,0,0,0,7,0,0
582298,Rudice,733,527,523,36,0,0,61,0,26,51,5,3,4,0,1,31,0,8,153,0,5,42,3,5,2,2,83,2,0
582310,Sebranice,496,307,307,31,0,0,35,0,10,32,3,1,4,1,0,19,0,4,94,0,2,27,0,4,0,1,39,0,0
582328,Senetářov,448,290,286,12,0,0,20,0,10,28,0,3,5,0,0,26,2,5,68,0,0,69,0,2,0,0,35,1,0
582336,Skalice nad Svitavou,493,316,312,14,0,0,29,1,8,25,12,2,6,0,1,30,0,9,103,1,0,31,0,4,1,0,33,2,0
582344,Skrchov,88,62,60,4,0,0,6,0,1,6,2,0,0,0,0,0,0,5,19,0,0,8,0,0,0,0,9,0,0
582352,Sloup,769,519,513,63,0,0,37,0,14,51,10,1,12,0,0,59,0,12,122,1,0,81,0,3,0,0,44,3,0
556963,Spešov,495,311,306,44,1,0,29,0,8,37,6,2,9,0,0,30,0,4,66,0,3,17,1,2,4,0,43,0,0
582620,Stvolová,132,89,87,10,0,1,11,0,2,12,0,3,2,0,0,5,0,0,29,0,0,6,0,0,0,0,6,0,0
582395,Sudice,362,220,219,11,1,0,21,0,15,26,3,1,0,0,1,20,0,5,64,0,0,10,0,2,1,0,38,0,0
582409,Suchý,369,250,250,16,0,1,29,0,5,23,0,2,0,0,0,12,0,5,116,0,1,15,0,1,0,1,22,1,0
582417,Sulíkov,225,154,152,9,0,1,5,0,2,2,1,3,6,0,0,21,0,2,36,0,0,50,0,0,0,0,14,0,0
586064,Světlá,184,127,126,12,1,0,15,0,13,9,5,1,1,0,0,10,0,1,38,0,0,9,0,2,0,0,8,1,0
582433,Svinošice,262,212,211,31,0,0,22,1,11,9,6,0,1,0,0,19,0,10,34,0,2,33,0,0,5,0,27,0,0
582441,Svitávka,1431,809,803,68,2,1,65,1,27,80,7,3,15,0,2,58,0,18,275,0,2,42,1,6,4,1,124,1,0
582468,Šebetov,725,386,384,15,0,0,33,0,24,33,4,8,7,0,0,20,1,5,137,0,1,38,0,1,0,1,56,0,0
582476,Šebrov-Kateřina,627,455,452,45,0,1,27,0,12,49,12,9,18,1,2,38,0,17,116,0,1,40,0,5,5,2,51,1,0
582484,Šošůvka,551,367,366,31,0,0,46,1,6,26,3,1,11,0,0,22,0,10,88,1,1,78,0,1,0,0,37,2,1
582492,Štěchov,141,101,98,4,0,0,9,0,0,3,0,2,2,0,0,17,2,1,26,0,0,24,1,0,1,0,6,0,0
582506,Tasovice,57,44,44,2,0,0,7,0,1,4,1,1,0,0,0,7,0,1,8,0,0,7,0,0,0,0,4,1,0
582531,Uhřice,260,174,172,13,0,0,19,0,5,18,4,2,0,0,0,12,0,2,55,0,0,22,1,1,0,1,17,0,0
534692,Újezd u Boskovic,395,240,240,9,0,0,26,1,8,27,1,1,2,0,0,9,0,5,103,0,0,8,0,2,2,4,31,1,0
582557,Újezd u Černé Hory,208,128,128,10,0,0,6,0,7,6,2,1,0,0,0,13,0,5,46,0,0,12,0,1,0,0,18,1,0
582573,Úsobrno,345,226,226,10,0,0,29,0,5,28,1,2,2,0,0,16,0,1,90,0,0,18,0,0,0,0,24,0,0
553883,Ústup,35,28,28,4,0,0,1,0,0,3,0,0,0,0,0,0,0,1,6,0,0,4,0,3,0,1,2,3,0
582581,Valchov,361,261,260,7,0,0,36,0,9,30,3,1,2,0,0,29,0,5,66,0,0,47,0,0,0,0,23,2,0
582590,Vanovice,443,241,241,16,0,1,29,0,14,31,1,2,7,0,0,20,0,1,67,0,0,26,0,3,0,0,23,0,0
582603,Vavřinec,716,473,472,38,0,1,44,0,15,50,9,5,5,1,1,35,0,8,127,0,0,53,0,2,0,0,76,2,0
582611,Vážany,175,121,121,12,0,0,7,0,5,8,0,0,1,0,0,7,0,1,37,0,0,25,0,0,0,1,17,0,0
530824,Velenov,181,122,120,7,0,0,8,0,0,10,2,0,1,1,0,9,0,4,40,0,0,23,0,2,0,0,13,0,0
582646,Velké Opatovice,3068,1700,1691,108,2,1,155,3,63,265,10,14,22,3,1,123,0,27,503,1,7,151,1,12,5,3,207,4,0
582654,Vilémovice,265,203,202,19,0,0,22,0,4,32,2,0,0,0,1,10,0,5,58,0,0,28,0,0,0,0,21,0,0
582662,Vísky,196,135,135,7,0,0,17,0,4,11,0,2,2,0,0,19,0,2,35,0,0,29,0,0,0,0,7,0,0
582671,Voděrady,420,260,258,25,0,0,35,0,7,31,2,1,8,0,1,13,1,9,79,1,0,22,0,0,0,2,19,2,0
582689,Vranová,293,205,205,15,0,0,23,0,9,16,1,0,3,0,0,22,0,6,74,0,1,17,0,0,0,0,18,0,0
582701,Vysočany,642,419,415,15,1,0,34,0,8,51,3,7,2,0,2,32,0,10,120,0,2,93,0,0,0,2,33,0,0
586005,Závist,122,84,82,2,0,0,7,0,13,7,1,1,0,0,0,2,0,4,31,0,0,5,1,1,0,0,7,0,0
582727,Zbraslavec,170,133,131,13,0,0,21,0,5,8,1,1,7,0,0,11,0,4,39,0,0,10,0,2,0,0,9,0,0
582743,Žďár,330,199,195,11,0,0,32,2,9,20,2,2,4,0,0,14,0,5,52,0,2,13,1,1,0,0,24,1,0
582751,Žďárná,613,392,391,20,1,0,37,0,3,55,6,4,2,0,0,25,0,5,148,0,2,46,0,2,0,1,32,2,0
582760,Žernovník,181,127,127,8,0,0,15,0,5,12,0,1,4,0,1,15,0,3,33,0,1,15,0,1,0,0,12,1,0
582778,Žerůtky,58,42,42,5,0,0,5,0,3,3,0,0,1,0,0,1,0,1,18,0,0,2,0,0,0,0,2,1,0
